drought,volume,leaves,seeds,avgseedmass
N,,,,
N,9803.95,110,59,0.0046
N,3373.97,52,50,0.0049
N,,,,
N,,,,
N,,,,
N,2770,70,91,0.0025
N,,,,
N,,,,
N,,,,
N,,,,
N,3872.37,54,21,0.0052
N,,,,
N,,,,
N,8860.92,126,168,0.0047
N,18.47,4,,
N,17980.51,106,102,0.0053
N,,,,
N,,,,
N,,,,
N,,,,
N,4434.688,55,165,0.0051
N,7407,96,,
N,11085.63,78,177,0.0063
N,,,,
N,,,,
N,,,,
N,7090.73,86,103,0.0051
N,26090,120,,
N,18442,142,142,0.0046
N,,,,
N,,,,
N,,,,
N,18876,143,145,0.0053
N,9214.49,98,127,0.005
N,,,,
N,,,,
N,,,,
N,,,,
N,4683.91,46,6,0.00555
N,782.965,17,5,0.00396
Y,,,,
Y,,,,
Y,,,,
Y,752.545,30,16,0.0045
Y,,,,
Y,,,,
Y,,,,
Y,816.407,22,8,0.0046
Y,,,,
Y,320.76,15,8,0.004
Y,,,,
Y,848.05,20,8,0.0048
Y,,,,
Y,47.84,5,20,0.00146
Y,,,,
Y,,,,
Y,,,,
Y,,,,
Y,61.75,2,,
Y,,,,
Y,,,,
Y,,,,
Y,,,,
Y,337.26,7,7,0.00461
Y,,,,
Y,,,,
Y,,,,
Y,,,,
Y,,,,
Y,,,,
Y,,,,
Y,,,,
Y,,,,
Y,,,,
Y,,,,
Y,,,,
Y,,,,
Y,,,,
Y,259.96,11,8,0.0020125
Y,804.24,19,,
Y,,,,
Y,832.19,17,12,0.0037083
Y,,,,